,Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
0,1,66758234,렌탈,일반계약,영업방판,2019-05-06,60,CMS,DES-1,96900, 개인,42.0,경기도,경기도,계약확정,0,없음,여자,9.0,새마을금고
1,2,66755948,렌탈,교체계약,영업방판,2020-02-20,60,카드이체,DES-1,102900, 개인,39.0,경기도,경기도,계약확정,0,없음,남자,2.0,현대카드
2,3,66756657,렌탈,일반계약,홈쇼핑/방송,2019-02-28,60,CMS,DES-1,96900, 개인,48.0,경기도,경기도,계약확정,0,없음,여자,8.0,우리은행
3,4,66423450,멤버십,멤버십3유형,재계약,2019-05-13,12,CMS,DES-1,66900, 개인,39.0,경기도,경기도,계약확정,0,없음,남자,5.0,농협회원조합
4,5,66423204,멤버십,멤버십3유형,재계약,2019-05-10,12,CMS,DES-1,66900, 개인,60.0,경기도,경기도,기간만료,12,있음,남자,8.0,농협회원조합
5,6,66165241,렌탈,프로모션계약,영업방판,2019-07-29,60,CMS,DES-3A,90900, 개인,53.0,경상도,경상도,계약확정,0,없음,여자,5.0,농협중앙회
6,7,66751017,렌탈,패키지계약,홈쇼핑/방송,2019-01-30,60,카드이체,DES-1,98400, 개인,66.0,경상도,경상도,계약확정,0,없음,남자,1.0,롯데카드
7,8,66751017,렌탈,패키지계약,홈쇼핑/방송,2019-01-17,60,카드이체,DES-2,80400, 개인,66.0,경상도,경상도,계약확정,0,없음,남자,1.0,롯데카드
8,9,66758007,렌탈,일반계약,영업방판,2019-06-30,60,카드이체,DES-3A,102900, 개인,62.0,경상도,경상도,계약확정,0,없음,여자,2.0,롯데카드
9,10,66756702,렌탈,프로모션계약,영업방판,2019-06-30,60,CMS,DES-1,105900, 개인,51.0,경상도,경상도,계약확정,0,없음,여자,1.0,신한은행
10,11,66757254,렌탈,패키지계약,홈쇼핑/방송,2019-07-23,60,카드이체,DES-1,81900, 개인,39.0,경상도,경상도,계약확정,0,없음,여자,1.0,국민카드
11,12,66757254,렌탈,패키지계약,홈쇼핑/방송,2019-08-09,60,카드이체,DES-2,81900, 개인,39.0,경상도,경상도,계약확정,0,없음,여자,1.0,국민카드
12,13,66355286,렌탈,프로모션계약,영업방판,2020-02-10,60,카드이체,DES-3A,90900, 개인,35.0,경상도,경상도,계약확정,0,없음,여자,7.0,현대카드
13,14,66757861,렌탈,일반계약,영업방판,2020-02-10,60,CMS,DES-1,96900, 개인,50.0,경상도,경상도,계약확정,0,없음,남자,1.0,농협중앙회
14,15,66758085,렌탈,프로모션계약,영업방판,2020-07-11,60,CMS,DES-2,90900, 개인,48.0,경상도,경상도,계약확정,0,없음,남자,1.0,농협회원조합
15,16,66423049,멤버십,멤버십3유형,재계약,2019-04-29,12,CMS,DES-1,66900, 개인,59.0,전라도,전라도,계약확정,0,없음,여자,2.0,농협회원조합
16,17,66190995,렌탈,프로모션계약,홈쇼핑/방송,2019-06-25,60,카드이체,DES-1,96900, 개인,61.0,경상도,부산광역시,계약확정,0,없음,남자,1.0,롯데카드
17,18,66757035,렌탈,프로모션계약,전문매장H,2019-09-28,60,CMS,DES-1,96900, 개인,32.0,경상도,부산광역시,해약확정,0,없음,여자,4.0,부산은행
18,19,66423249,멤버십,멤버십3유형,재계약,2020-01-17,12,CMS,DES-1,66900, 개인,87.0,경상도,부산광역시,계약확정,0,없음,여자,2.0,농협중앙회
19,20,66755490,렌탈,프로모션계약,영업방판,2020-01-17,60,카드이체,DES-1,105900, 개인,58.0,경상도,부산광역시,계약확정,0,없음,여자,1.0,롯데카드
20,21,66423230,멤버십,멤버십3유형,재계약,2020-04-02,12,CMS,DES-1,66900, 개인,43.0,경상도,부산광역시,계약확정,0,없음,여자,2.0,우리은행
21,22,66758336,렌탈,프로모션계약,전문매장Z,2020-04-25,60,CMS,DES-1,111900, 개인,72.0,경상도,부산광역시,계약확정,0,없음,남자,9.0,농협회원조합
22,23,66758074,렌탈,일반계약,영업방판,2020-07-23,60,CMS,DES-1,96900, 개인,,충청도,충청도,계약확정,0,없음,여자,1.0,농협중앙회
